filename,width,height,class,xmin,ymin,xmax,ymax
132.jpeg,1280,720,student,80,185,257,397
133.jpeg,227,146,student_copying,7,6,155,146
133.jpeg,227,146,student_copying,2,5,107,142
133.jpeg,227,146,student_copying,102,16,199,94
134.jpeg,800,450,student_copying,336,13,721,450
134.jpeg,800,450,student_copying,1,79,307,382
135.jpeg,500,333,student_copying,235,68,467,324
136.jpeg,0,0,student_copying,182,108,311,255
136.jpeg,0,0,student_copying,348,254,442,358
136.jpeg,0,0,student_copying,205,235,344,374
136.jpeg,0,0,student_copying,153,388,288,526
137.jpeg,1280,720,student_copying,346,183,539,402
137.jpeg,1280,720,student_copying,823,189,938,275
138.jpeg,525,393,student_copying,226,179,357,311
139.jpeg,0,0,student,254,84,520,400
140.jpeg,759,400,student,654,85,759,262
140.jpeg,759,400,student,395,151,576,319
140.jpeg,759,400,student,373,71,501,215
140.jpeg,759,400,student,46,108,183,313
140.jpeg,759,400,student,343,33,445,151
141.jpeg,1300,728,student_copying,495,187,654,311
141.jpeg,1300,728,student_copying,751,291,1129,699
142.jpeg,533,400,student_copying,127,26,400,374
143.jpeg,0,0,student_copying,693,153,1055,555
143.jpeg,0,0,student,120,227,570,675
22.jpeg,380,252,student,274,49,380,141
22.jpeg,380,252,student,123,107,271,241
22.jpeg,380,252,student,75,51,152,163
23.jpeg,450,299,student,262,82,330,197
24.jpeg,670,402,student_copying,367,47,435,109
24.jpeg,670,402,student_copying,612,48,658,123
24.jpeg,670,402,student,364,104,505,244
25.jpeg,800,450,student,65,141,266,391
25.jpeg,800,450,student_copying,59,31,208,163
26.jpeg,644,362,student,305,37,429,187
26.jpeg,644,362,student_copying,400,2,491,121
26.jpeg,644,362,student,131,7,284,207
26.jpeg,644,362,student,18,54,146,248
27.jpeg,459,306,student,121,136,234,301
27.jpeg,459,306,student,44,116,125,252
27.jpeg,459,306,student,230,94,332,213
27.jpeg,459,306,student,362,113,459,222
28.jpeg,849,565,student,462,65,848,564
28.jpeg,849,565,student,1,70,281,564
29.jpeg,1280,853,student,346,108,920,784
30.jpeg,1200,800,student,267,37,903,647
31.jpeg,1200,800,student_copying,562,105,1103,659
32.jpeg,0,0,student_copying,352,202,484,350
32.jpeg,0,0,student_copying,451,111,573,227
32.jpeg,0,0,student_copying,762,135,869,346
32.jpeg,0,0,student_copying,367,43,448,124
32.jpeg,0,0,student,263,117,334,243
32.jpeg,0,0,student,103,318,317,545
32.jpeg,0,0,student,31,245,183,424
32.jpeg,0,0,student,611,275,832,545
33.jpeg,1280,720,student,898,142,1280,579
33.jpeg,1280,720,student,674,80,968,498
33.jpeg,1280,720,student,585,105,863,453
34.jpeg,1000,600,student,511,207,778,508
34.jpeg,1000,600,student,688,30,874,279
34.jpeg,1000,600,student,399,106,576,337
34.jpeg,1000,600,student,359,51,536,218
35.jpeg,1000,600,student,427,134,559,318
35.jpeg,1000,600,student,846,132,1000,313
35.jpeg,1000,600,student,531,211,739,439
35.jpeg,1000,600,student,24,226,211,438
36.jpeg,1300,866,student,623,66,972,524
36.jpeg,1300,866,student,1,112,332,793
37.jpeg,1300,866,student,214,90,738,866
38.jpeg,1300,866,student,779,138,1300,634
39.jpeg,1300,866,student,876,126,1300,622
40.jpeg,1300,866,student,281,1,692,462
40.jpeg,1300,866,student,800,352,1300,801
40.jpeg,1300,866,student_copying,1071,142,1267,375
41.jpeg,1300,866,student_copying,1078,127,1283,395
42.jpeg,1300,866,student,799,103,1220,581
43.jpeg,1300,866,student,1038,174,1282,580
44.jpeg,1300,866,student,408,264,827,757
45.jpeg,1300,866,student,443,402,939,787
45.jpeg,1300,866,student,830,175,1113,523
46.jpeg,1300,840,student,132,278,582,685
47.jpeg,400,266,student,222,120,294,174
47.jpeg,400,266,student,310,140,373,213
47.jpeg,400,266,student,88,171,154,258
48.jpeg,400,300,student,169,166,232,234
48.jpeg,400,300,student,221,180,311,245
48.jpeg,400,300,student,315,216,397,298
48.jpeg,400,300,student,88,145,171,220
48.jpeg,400,300,student_copying,112,80,163,126
49.jpeg,400,300,student_copying,5,41,49,101
49.jpeg,400,300,student,154,55,216,109
49.jpeg,400,300,student,1,78,70,161
49.jpeg,400,300,student_copying,314,66,365,126
50.jpeg,1300,866,student,583,331,922,737
51.jpeg,1026,544,student,368,121,703,543
51.jpeg,1026,544,student,884,103,1015,284
51.jpeg,1026,544,student,706,131,879,343
52.jpeg,675,450,student,304,174,513,379
52.jpeg,675,450,student,507,116,675,331
52.jpeg,675,450,student,22,208,287,450
52.jpeg,675,450,student,165,119,312,260
52.jpeg,675,450,student_copying,415,58,472,150
53.jpeg,630,250,student,287,34,363,101
53.jpeg,630,250,student,359,32,454,146
53.jpeg,630,250,student,436,32,549,110
53.jpeg,630,250,student,92,74,203,209
54.jpeg,790,530,student,178,130,546,519
55.jpeg,634,411,student,262,20,628,411
56.jpeg,688,360,student_copying,569,56,676,166
56.jpeg,688,360,student_copying,375,52,455,140
56.jpeg,688,360,student,94,52,217,189
57.jpeg,620,413,student,362,105,508,249
57.jpeg,620,413,student,477,102,587,206
57.jpeg,620,413,student,154,131,394,308
58.jpeg,636,362,student,431,146,529,258
58.jpeg,636,362,student,130,150,286,261
58.jpeg,636,362,student,211,108,288,189
59.jpeg,715,508,student,78,120,238,354
59.jpeg,715,508,student_copying,323,65,476,224
60.jpeg,640,480,student_copying,270,177,422,326
60.jpeg,640,480,student,155,149,261,255
61.jpeg,640,480,student,383,62,535,206
61.jpeg,640,480,student,526,56,640,273
61.jpeg,640,480,student,1,131,301,435
61.jpeg,640,480,student,294,42,399,147
61.jpeg,640,480,student,211,29,301,116
62.jpeg,660,440,student,115,96,418,369
62.jpeg,660,440,student,337,41,474,219
62.jpeg,660,440,student,133,20,205,151
63.jpeg,640,480,student,328,122,457,241
63.jpeg,640,480,student,225,143,363,306
63.jpeg,640,480,student,90,221,228,399
64.jpeg,600,400,student,389,76,518,206
64.jpeg,600,400,student,245,39,353,149
64.jpeg,600,400,student,71,153,220,371
65.jpeg,640,480,student,385,182,514,322
65.jpeg,640,480,student_copying,312,109,432,187
65.jpeg,640,480,student,161,95,277,186
65.jpeg,640,480,student,41,153,170,273
65.jpeg,640,480,student,38,275,296,421
66.jpeg,640,480,student,195,138,387,269
66.jpeg,640,480,student,303,99,415,184
66.jpeg,640,480,student,355,195,564,345
67.jpeg,1300,956,student,317,171,912,783
68.jpeg,1200,800,student,353,246,734,653
69.jpeg,1200,800,student,330,140,866,704
70.jpeg,1200,800,student,376,230,738,655
71.jpeg,600,338,student_copying,390,86,537,211
72.jpeg,1023,682,student,344,247,865,592
73.jpeg,600,400,student,169,99,409,333
74.jpeg,608,342,student,401,98,558,307
75.jpeg,1600,1167,student,824,279,1573,1118
76.jpeg,1600,1167,student,691,228,1408,1021
77.jpeg,640,420,student,1,81,203,323
78.jpeg,420,281,student,240,143,366,281
79.jpeg,607,388,student,449,64,598,274
79.jpeg,607,388,student,91,44,197,151
79.jpeg,607,388,student,140,70,294,184
86.jpeg,310,163,student,13,52,81,102
86.jpeg,310,163,student,115,34,176,95
86.jpeg,310,163,student,129,47,197,123
86.jpeg,310,163,student,186,27,252,91
87.jpeg,275,183,student_copying,107,35,235,165
88.jpeg,266,189,student_copying,1,51,97,152
88.jpeg,266,189,student_copying,1,10,99,142
89.jpeg,265,190,student_copying,77,4,257,174
89.jpeg,265,190,student_copying,76,85,160,158
89.jpeg,265,190,student_copying,140,16,209,72
91.jpeg,275,183,student_copying,120,19,268,136
92.jpeg,275,183,student_copying,139,10,258,118
93.jpeg,259,194,student_copying,78,1,243,175
94.jpeg,300,168,student,224,43,287,116
94.jpeg,300,168,student,132,26,210,133
94.jpeg,300,168,student,36,84,132,168
96.jpeg,259,194,student,1,7,148,172
97.jpeg,262,193,student_copying,127,14,262,187
98.jpeg,300,168,student_copying,100,43,166,98
98.jpeg,300,168,student,123,71,252,152
99.jpeg,2960,1440,student_copying,596,36,1684,1354
